user_id,signup_date,country,acquisition_channel
1,2024-02-21,US,facebook_ads
2,2024-01-15,PT,facebook_ads
3,2024-03-12,DE,google_ads
4,2024-03-01,UK,facebook_ads
5,2024-01-21,DE,facebook_ads
6,2024-03-23,UK,organic
7,2024-03-27,UK,tiktok_ads
8,2024-03-15,US,facebook_ads
9,2024-03-15,US,google_ads
10,2024-03-28,ES,organic
11,2024-01-24,ES,tiktok_ads
12,2024-01-03,ES,facebook_ads
13,2024-01-22,ES,google_ads
14,2024-02-22,DE,facebook_ads
15,2024-01-02,US,tiktok_ads
16,2024-03-28,US,tiktok_ads
17,2024-01-30,ES,tiktok_ads
18,2024-02-07,FR,organic
19,2024-01-02,DE,tiktok_ads
20,2024-03-04,PT,facebook_ads
21,2024-02-29,ES,tiktok_ads
22,2024-01-21,DE,google_ads
23,2024-02-02,DE,tiktok_ads
24,2024-03-16,DE,organic
25,2024-02-27,FR,google_ads
26,2024-01-22,UK,tiktok_ads
27,2024-03-29,ES,tiktok_ads
28,2024-02-18,PT,tiktok_ads
29,2024-02-28,DE,facebook_ads
30,2024-02-11,ES,facebook_ads
31,2024-02-29,FR,tiktok_ads
32,2024-03-20,PT,organic
33,2024-01-15,ES,tiktok_ads
34,2024-03-02,DE,organic
35,2024-03-02,US,tiktok_ads
36,2024-02-16,PT,organic
37,2024-03-02,ES,organic
38,2024-02-20,ES,tiktok_ads
39,2024-02-24,DE,facebook_ads
40,2024-03-04,DE,google_ads
41,2024-01-03,ES,tiktok_ads
42,2024-02-20,DE,google_ads
43,2024-01-07,FR,tiktok_ads
44,2024-01-21,FR,facebook_ads
45,2024-03-13,DE,organic
46,2024-02-08,US,tiktok_ads
47,2024-01-18,ES,google_ads
48,2024-01-04,UK,tiktok_ads
49,2024-03-29,UK,tiktok_ads
50,2024-02-29,UK,facebook_ads
51,2024-01-14,UK,tiktok_ads
52,2024-01-09,UK,tiktok_ads
53,2024-03-30,UK,google_ads
54,2024-02-22,ES,tiktok_ads
55,2024-01-02,FR,google_ads
56,2024-03-24,US,organic
57,2024-02-29,FR,organic
58,2024-03-11,FR,facebook_ads
59,2024-02-13,US,organic
60,2024-01-08,UK,facebook_ads
61,2024-02-16,US,google_ads
62,2024-02-04,PT,google_ads
63,2024-03-18,ES,organic
64,2024-03-21,ES,facebook_ads
65,2024-02-05,US,google_ads
66,2024-02-19,FR,google_ads
67,2024-01-04,PT,facebook_ads
68,2024-01-02,ES,organic
69,2024-01-06,DE,organic
70,2024-02-23,PT,tiktok_ads
71,2024-01-04,PT,google_ads
72,2024-02-23,FR,google_ads
73,2024-03-03,UK,facebook_ads
74,2024-01-18,DE,tiktok_ads
75,2024-03-30,UK,facebook_ads
76,2024-02-13,DE,google_ads
77,2024-02-03,ES,facebook_ads
78,2024-03-14,ES,google_ads
79,2024-03-02,ES,tiktok_ads
80,2024-01-14,US,facebook_ads
81,2024-02-17,DE,facebook_ads
82,2024-01-15,FR,google_ads
83,2024-03-12,PT,google_ads
84,2024-03-18,UK,organic
85,2024-03-27,US,google_ads
86,2024-03-02,US,organic
87,2024-02-09,PT,organic
88,2024-03-25,FR,facebook_ads
89,2024-03-20,ES,facebook_ads
90,2024-03-22,ES,facebook_ads
91,2024-02-22,FR,google_ads
92,2024-01-24,UK,facebook_ads
93,2024-01-26,US,tiktok_ads
94,2024-03-29,FR,tiktok_ads
95,2024-02-29,FR,facebook_ads
96,2024-02-10,ES,organic
97,2024-01-29,DE,organic
98,2024-01-15,FR,google_ads
99,2024-02-14,PT,facebook_ads
100,2024-03-05,FR,organic
101,2024-03-29,PT,facebook_ads
102,2024-03-11,FR,facebook_ads
103,2024-01-09,FR,facebook_ads
104,2024-03-28,DE,tiktok_ads
105,2024-01-01,PT,facebook_ads
106,2024-01-08,US,tiktok_ads
107,2024-03-28,ES,facebook_ads
108,2024-03-03,UK,organic
109,2024-01-11,ES,organic
110,2024-03-21,PT,facebook_ads
111,2024-01-08,DE,tiktok_ads
112,2024-02-04,ES,organic
113,2024-02-04,US,google_ads
114,2024-02-02,FR,tiktok_ads
115,2024-01-05,DE,google_ads
116,2024-02-10,PT,facebook_ads
117,2024-01-28,ES,organic
118,2024-01-07,ES,facebook_ads
119,2024-03-13,DE,google_ads
120,2024-03-12,US,google_ads
121,2024-01-12,ES,google_ads
122,2024-02-03,US,google_ads
123,2024-02-02,UK,organic
124,2024-02-17,DE,organic
125,2024-01-23,ES,facebook_ads
126,2024-03-02,PT,google_ads
127,2024-03-28,ES,google_ads
128,2024-02-06,ES,organic
129,2024-02-13,US,facebook_ads
130,2024-03-26,PT,tiktok_ads
131,2024-02-04,UK,google_ads
132,2024-03-05,DE,tiktok_ads
133,2024-02-16,ES,tiktok_ads
134,2024-03-18,FR,facebook_ads
135,2024-01-03,US,tiktok_ads
136,2024-01-01,FR,facebook_ads
137,2024-01-05,DE,tiktok_ads
138,2024-03-30,FR,facebook_ads
139,2024-01-14,ES,facebook_ads
140,2024-01-27,US,google_ads
141,2024-01-09,FR,facebook_ads
142,2024-03-19,US,google_ads
143,2024-01-15,DE,google_ads
144,2024-03-30,UK,organic
145,2024-02-11,DE,tiktok_ads
146,2024-03-17,US,google_ads
147,2024-02-20,PT,google_ads
148,2024-03-03,PT,google_ads
149,2024-02-21,UK,organic
150,2024-01-04,US,facebook_ads
151,2024-01-23,DE,google_ads
152,2024-01-15,ES,organic
153,2024-02-12,UK,organic
154,2024-01-29,ES,organic
155,2024-02-05,PT,organic
156,2024-01-13,DE,facebook_ads
157,2024-02-01,DE,google_ads
158,2024-03-11,FR,google_ads
159,2024-02-28,FR,facebook_ads
160,2024-03-26,FR,google_ads
161,2024-01-28,PT,facebook_ads
162,2024-03-06,DE,organic
163,2024-02-11,US,tiktok_ads
164,2024-02-14,PT,organic
165,2024-03-02,DE,tiktok_ads
166,2024-02-26,DE,tiktok_ads
167,2024-01-06,DE,organic
168,2024-01-28,PT,facebook_ads
169,2024-01-28,US,tiktok_ads
170,2024-02-13,DE,organic
171,2024-03-24,DE,organic
172,2024-01-30,DE,google_ads
173,2024-03-02,ES,tiktok_ads
174,2024-03-15,UK,google_ads
175,2024-03-29,US,google_ads
176,2024-03-02,UK,tiktok_ads
177,2024-01-01,ES,organic
178,2024-01-27,FR,tiktok_ads
179,2024-03-02,UK,google_ads
180,2024-03-17,UK,google_ads
181,2024-01-03,PT,facebook_ads
182,2024-03-10,ES,facebook_ads
183,2024-03-12,PT,organic
184,2024-01-27,DE,organic
185,2024-01-09,PT,facebook_ads
186,2024-03-02,ES,google_ads
187,2024-02-06,UK,facebook_ads
188,2024-02-20,UK,tiktok_ads
189,2024-02-13,PT,google_ads
190,2024-01-24,PT,tiktok_ads
191,2024-03-19,US,facebook_ads
192,2024-02-28,ES,organic
193,2024-02-01,PT,google_ads
194,2024-03-28,UK,google_ads
195,2024-02-21,ES,facebook_ads
196,2024-03-02,DE,tiktok_ads
197,2024-02-27,ES,organic
198,2024-02-21,DE,google_ads
199,2024-01-12,FR,tiktok_ads
200,2024-02-08,DE,tiktok_ads
201,2024-01-02,ES,tiktok_ads
202,2024-01-03,US,tiktok_ads
203,2024-02-25,PT,organic
204,2024-03-21,PT,tiktok_ads
205,2024-02-28,UK,tiktok_ads
206,2024-01-02,UK,facebook_ads
207,2024-01-02,ES,organic
208,2024-02-23,PT,google_ads
209,2024-03-27,US,organic
210,2024-01-01,ES,facebook_ads
211,2024-01-19,DE,organic
212,2024-01-02,DE,facebook_ads
213,2024-02-22,FR,organic
214,2024-02-13,UK,tiktok_ads
215,2024-03-30,FR,facebook_ads
216,2024-02-01,US,tiktok_ads
217,2024-03-10,PT,tiktok_ads
218,2024-02-01,FR,tiktok_ads
219,2024-03-08,ES,tiktok_ads
220,2024-02-24,PT,organic
221,2024-03-15,DE,tiktok_ads
222,2024-02-25,FR,facebook_ads
223,2024-01-17,US,google_ads
224,2024-02-07,ES,tiktok_ads
225,2024-01-24,DE,tiktok_ads
226,2024-03-09,DE,organic
227,2024-03-10,UK,google_ads
228,2024-03-26,FR,facebook_ads
229,2024-01-11,DE,organic
230,2024-01-16,US,organic
231,2024-03-13,FR,facebook_ads
232,2024-02-28,UK,organic
233,2024-03-10,FR,tiktok_ads
234,2024-03-20,DE,tiktok_ads
235,2024-01-03,UK,organic
236,2024-01-20,US,facebook_ads
237,2024-02-28,US,organic
238,2024-02-05,US,organic
239,2024-01-19,DE,google_ads
240,2024-03-30,UK,facebook_ads
241,2024-03-07,US,organic
242,2024-01-19,FR,facebook_ads
243,2024-01-20,DE,tiktok_ads
244,2024-03-11,PT,google_ads
245,2024-02-21,UK,organic
246,2024-02-02,DE,organic
247,2024-02-09,US,facebook_ads
248,2024-02-08,ES,tiktok_ads
249,2024-03-22,US,tiktok_ads
250,2024-01-01,UK,google_ads
251,2024-01-11,FR,tiktok_ads
252,2024-02-26,UK,tiktok_ads
253,2024-03-29,DE,facebook_ads
254,2024-02-19,UK,facebook_ads
255,2024-01-23,FR,organic
256,2024-01-31,ES,organic
257,2024-02-11,PT,facebook_ads
258,2024-01-07,PT,tiktok_ads
259,2024-01-16,FR,google_ads
260,2024-03-30,PT,facebook_ads
261,2024-02-29,US,google_ads
262,2024-01-02,PT,facebook_ads
263,2024-01-01,US,google_ads
264,2024-02-17,PT,google_ads
265,2024-01-12,UK,google_ads
266,2024-03-09,ES,tiktok_ads
267,2024-02-06,PT,organic
268,2024-02-01,FR,tiktok_ads
269,2024-01-09,PT,facebook_ads
270,2024-01-19,US,tiktok_ads
271,2024-02-17,UK,tiktok_ads
272,2024-03-20,ES,google_ads
273,2024-01-03,DE,organic
274,2024-01-20,UK,facebook_ads
275,2024-01-24,FR,google_ads
276,2024-02-23,PT,google_ads
277,2024-02-02,ES,google_ads
278,2024-01-24,DE,google_ads
279,2024-03-15,ES,tiktok_ads
280,2024-03-12,UK,organic
281,2024-02-05,UK,google_ads
282,2024-02-07,DE,facebook_ads
283,2024-03-24,ES,organic
284,2024-03-29,ES,tiktok_ads
285,2024-01-25,ES,google_ads
286,2024-01-18,PT,tiktok_ads
287,2024-03-22,US,organic
288,2024-03-06,ES,tiktok_ads
289,2024-02-23,US,google_ads
290,2024-02-04,UK,google_ads
291,2024-03-20,US,tiktok_ads
292,2024-03-01,UK,facebook_ads
293,2024-02-10,DE,tiktok_ads
294,2024-02-02,DE,organic
295,2024-03-08,ES,organic
296,2024-02-02,US,google_ads
297,2024-01-14,US,facebook_ads
298,2024-01-21,DE,organic
299,2024-02-17,ES,facebook_ads
300,2024-01-20,US,facebook_ads
301,2024-01-08,US,organic
302,2024-01-07,ES,google_ads
303,2024-03-07,ES,facebook_ads
304,2024-01-17,UK,google_ads
305,2024-02-02,UK,tiktok_ads
306,2024-02-17,PT,facebook_ads
307,2024-03-16,US,google_ads
308,2024-02-28,ES,facebook_ads
309,2024-03-26,DE,facebook_ads
310,2024-01-22,FR,google_ads
311,2024-01-30,FR,organic
312,2024-02-07,DE,tiktok_ads
313,2024-02-20,PT,organic
314,2024-02-23,ES,organic
315,2024-01-08,DE,tiktok_ads
316,2024-01-27,DE,facebook_ads
317,2024-01-27,PT,organic
318,2024-01-21,UK,tiktok_ads
319,2024-01-30,ES,facebook_ads
320,2024-01-28,US,tiktok_ads
321,2024-03-04,ES,tiktok_ads
322,2024-03-09,ES,facebook_ads
323,2024-03-01,FR,facebook_ads
324,2024-02-17,FR,google_ads
325,2024-01-19,FR,google_ads
326,2024-01-04,PT,google_ads
327,2024-02-04,US,facebook_ads
328,2024-03-04,US,google_ads
329,2024-02-18,ES,tiktok_ads
330,2024-01-17,FR,tiktok_ads
331,2024-02-13,FR,google_ads
332,2024-01-30,PT,tiktok_ads
333,2024-02-15,ES,tiktok_ads
334,2024-01-06,FR,organic
335,2024-02-06,US,organic
336,2024-01-24,UK,facebook_ads
337,2024-02-15,US,tiktok_ads
338,2024-02-22,ES,organic
339,2024-02-29,UK,google_ads
340,2024-03-03,ES,tiktok_ads
341,2024-03-25,PT,facebook_ads
342,2024-02-01,ES,facebook_ads
343,2024-03-27,US,google_ads
344,2024-02-02,US,organic
345,2024-03-07,FR,facebook_ads
346,2024-01-18,UK,facebook_ads
347,2024-01-25,DE,organic
348,2024-02-23,PT,google_ads
349,2024-02-27,DE,organic
350,2024-03-07,DE,google_ads
351,2024-02-15,ES,facebook_ads
352,2024-01-24,FR,organic
353,2024-02-01,FR,google_ads
354,2024-02-16,PT,tiktok_ads
